service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
expl-12_DIMANCHE,0,0,0,0,0,0,1,20251123,20251123
expl-12_JEUDI,0,0,0,1,0,0,0,20251120,20251120
expl-12_LUNDI,1,0,0,0,0,0,0,20251117,20251117
expl-12_MARDI,0,1,0,0,0,0,0,20251118,20251118
expl-12_MERCREDI,0,0,1,0,0,0,0,20251119,20251119
expl-12_SAMEDI,0,0,0,0,0,1,0,20251122,20251122
expl-12_VENDREDI,0,0,0,0,1,0,0,20251121,20251121
gen-074f22002d,0,0,0,1,0,0,0,20251127,20251218
gen-086247292f,0,0,0,0,0,1,0,20251129,20251220
gen-2622087111,0,0,0,0,0,0,1,20251130,20251221
gen-3b54467710,0,1,0,0,0,0,0,20251125,20251216
gen-50427a7007,0,0,0,0,1,0,0,20251128,20251219
gen-5e131c5c22,0,0,1,0,0,0,0,20251126,20251217
gen-6d0d067280,1,0,0,0,0,0,0,20251124,20251215
prog-00000000001,0,0,0,0,0,0,1,20251123,20251221
prog-00000000002,1,0,0,0,0,0,0,20251117,20251215
prog-00000000003,0,1,0,0,0,0,0,20251118,20251216
prog-00000000004,0,0,0,1,0,0,0,20251120,20251218
prog-00000000005,0,0,0,0,1,0,0,20251121,20251219
prog-00000000006,0,0,1,0,0,0,0,20251119,20251217
prog-00000000007,0,0,0,0,0,1,0,20251122,20251220
prog-00000000010,0,0,0,0,0,0,1,20251207,20251207
prog-00000000011,0,0,0,1,0,0,0,20251204,20251204
prog-00000000012,0,0,0,0,0,1,0,20251206,20251206
prog-00000000013,0,0,0,0,1,0,0,20251205,20251205
prog-00000000026,0,0,0,0,0,0,1,20251123,20251221
prog-00000000027,0,0,0,1,0,0,0,20251120,20251218
prog-00000000028,0,0,0,0,1,0,0,20251121,20251219
prog-00000000029,1,0,0,0,0,0,0,20251117,20251215
prog-00000000030,0,1,0,0,0,0,0,20251118,20251216
prog-00000000031,0,0,1,0,0,0,0,20251119,20251217
prog-00000000032,0,0,0,0,0,1,0,20251122,20251220
prog-00000000033,0,0,0,0,0,0,1,20251123,20251221
prog-00000000034,1,1,0,1,1,0,0,20251117,20251219
prog-00000000035,0,0,0,0,1,0,0,20251121,20251219
prog-00000000036,0,0,1,0,0,0,0,20251119,20251217
prog-00000000037,0,0,1,0,0,0,0,20251119,20251217
prog-00000000038,0,0,0,0,0,1,0,20251122,20251220
prog-00000000039,0,0,0,0,0,1,0,20251213,20251213
prog-00000000040,0,0,0,0,0,1,0,20251213,20251213
prog-00000000044,0,0,0,0,0,0,1,20251207,20251207
prog-00000000045,0,0,0,1,0,0,0,20251204,20251204
prog-00000000046,0,0,0,0,0,1,0,20251206,20251206
prog-00000000047,0,0,0,0,1,0,0,20251205,20251205
prog-00000000065,0,0,0,1,0,0,0,20251120,20251218
prog-00000000066,0,0,0,1,0,0,0,20251120,20251218
prog-00000000067,1,0,0,0,0,0,0,20251117,20251215
prog-00000000068,1,0,0,0,0,0,0,20251117,20251215
prog-00000000069,0,1,0,0,0,0,0,20251118,20251216
prog-00000000070,0,1,0,0,0,0,0,20251118,20251216
prog-00000000071,0,0,1,0,0,0,0,20251119,20251217
prog-00000000072,0,0,1,0,0,0,0,20251119,20251217
prog-00000000073,0,0,0,0,1,0,0,20251121,20251219
prog-00000000074,0,0,0,0,1,0,0,20251121,20251219
